,r,l
0,231.7219279778986,25
1,325.42920127275806,35
2,315.4608925101721,34
3,259.98735507022496,28
4,268.9384874051076,29
5,278.27720575339856,30
6,269.24625274830896,29
7,175.92596517564144,19
8,278.4628673342112,30
9,222.19120265838322,24
10,269.196372864255,29
11,296.99956026128586,32
12,231.77189809070288,25
13,296.9445609157961,32
14,334.24856541898754,36
15,278.3177112855358,30
16,297.0727815970061,32
17,296.90244203947964,32
18,277.9943807950913,30
19,259.6265830465484,28
20,315.6387303708619,34
21,259.6058896254518,28
22,250.31212611427932,27
23,287.97794118071704,31
24,259.6989188914013,28
25,315.9143580417763,34
26,260.01699283014995,28
27,260.0279126368252,28
28,288.17780920418346,31
29,194.7455608862336,21
30,259.8239689672745,28
31,166.5959047050913,18
32,222.77571051288035,24
33,204.255024622542,22
34,204.30545243736285,22
35,213.65575933160272,23
36,175.89723912747374,19
37,185.4194999627299,20
38,185.40909069227683,20
39,250.84043841566972,27
40,176.15209519108018,19
41,157.2356130773479,17
42,148.2671645566104,16
43,195.0112910004545,21
44,195.0408099355042,21
45,166.60133693351034,18
46,157.5763854334519,17
47,176.0701695305629,19
48,157.67395076644735,17
49,194.83815379879707,21
50,157.71535604454778,17
51,176.04041392461417,19
52,148.21485680148922,16
53,166.7912365792252,18
54,176.17633229973146,19
55,148.07433598195178,16
56,185.71691858248312,20
57,166.80575776744266,18
58,176.47877164925026,19
59,157.711691252228,17
60,139.02621108133008,15
61,157.45772543339436,17
62,148.0394822865237,16
63,166.99028839639544,18
64,157.77514926048448,17
65,157.75522573255307,17
66,157.70581278456928,17
67,148.33304885759756,16
68,166.81181841692214,18
69,166.92634045875647,18
70,157.56098062808726,17
71,157.8592090519694,17
72,148.0891424867967,16
73,166.93166772838828,18
74,157.6145795839204,17
75,157.49693827805828,17
76,157.74921342749423,17
77,157.6238804319351,17
78,157.74339076201093,17
79,138.95243732964772,15
80,166.80498064005863,18
81,139.05587673928065,15
82,148.20801994881123,16
83,157.59914815406015,17
84,138.74339742829366,15
85,148.10422104906175,16
86,139.08323327511704,15
87,148.0323109141268,16
88,148.03659018037575,16
89,138.90574736174477,15
90,148.16371894235792,16
91,148.33028834664455,16
92,138.79731604668692,15
93,166.82639540546094,18
94,157.43080453547626,17
95,139.01525407571114,15
96,148.46401729966868,16
97,138.89712455057295,15
98,157.40784935393432,17
99,157.43408385405087,17
100,166.8696351921024,18
101,148.09526350883073,16
102,138.95551380334095,15
103,148.25935879896477,16
104,148.1812733497704,16
105,157.75606461112324,17
106,148.14158670013174,16
107,166.90845783022937,18
108,138.74494331323257,15
109,147.9609696893328,16
110,139.02543861974215,15
111,157.68711285395838,17
112,148.02167109860397,16
113,166.84749476501585,18
114,148.49187683218653,16
115,139.05767689761888,15
116,139.0093800221452,15
117,157.6828415144918,17
118,138.75065701777558,15
119,157.4115768273574,17
120,148.36803403966434,16
121,148.01880152445955,16
122,157.31839589165784,17
123,138.82787340178518,15
124,138.9384999425521,15
125,157.6969209517924,17
126,157.57881986483912,17
127,148.1294694268705,16
128,157.45093630887882,17
129,157.5842057233544,17
130,157.35339764848285,17
131,157.48576455521365,17
132,157.37770982736424,17
133,166.92105841773417,18
134,138.94890403663052,15
135,148.0793962671363,16
136,157.60694278587536,17
137,148.20057220713716,16
138,166.61179625810763,18
139,157.75323571409584,17
140,147.93188331275564,16
141,166.77447749732272,18
142,157.36936942843155,17
143,148.14187123288247,16
144,157.53089814066675,17
145,175.95965264217364,19
146,157.59788722688074,17
147,157.50649040404028,17
148,157.3193386460863,17
149,194.72102646169273,21
150,167.0007246908098,18
151,176.07368573295477,19
152,194.71796593821938,21
153,175.9728279733999,19
154,176.1876202322878,19
155,176.07025263590356,19
156,175.89433907231975,19
157,194.81886456414398,21
158,166.96282068960025,18
159,185.19267005559132,20
160,157.1793239790198,17
161,194.72458179442762,21
162,194.85190963100524,21
163,166.47002074896162,18
164,204.33088690685457,22
165,175.90691937833128,19
166,204.31303536035037,22
167,213.3734176418274,23
168,166.63544810677575,18
169,176.07057576064503,19
170,259.65922926315585,28
171,194.70105756123837,21
172,251.1854145048348,27
173,343.940894854159,37
174,185.1862170890562,20
175,465.0389742429228,50
176,352.6116042143485,38
177,203.88306496416723,22
178,465.31898057263015,50
179,297.01316094583507,32
180,250.45438047214427,27
181,307.1780375823238,33
182,222.7627306647585,24
183,213.3862097248299,23
184,222.85583023920685,24
185,185.22076055796722,20
186,175.78020011157565,19
187,203.78700646960095,22
188,185.45773847236802,20
189,213.080215498503,23
190,213.31708786268712,23
191,231.9821731325732,25
192,222.28006864849368,24
193,231.60466061210877,25
194,184.96100354735358,20
195,213.46033813460735,23
196,222.6116973367144,24
197,269.1322172789496,29
198,213.02310248361377,23
199,185.18909701074176,20
200,231.9923253195618,25
201,250.8084807003721,27
202,213.4338769267901,23
203,250.88201587630883,27
204,194.6022267891048,21
205,213.17526772827972,23
206,222.30111318685343,24
207,231.87164541126876,25
208,269.0363283586311,29
209,259.8042359685134,28
210,259.6125778001263,28
211,259.71529532961046,28
212,250.59189683106578,27
213,231.59902447475383,25
214,287.76022490527083,31
215,185.1792442932718,20
216,315.79949199760557,34
217,259.6659413309503,28
218,240.972120521638,26
219,240.96658874802705,26
220,278.0919470065,30
221,306.4042749959258,33
222,333.72743609739547,36
223,399.1376972522042,43
224,333.7974520621958,36
225,306.030674064251,33
226,353.3146719222152,38
227,334.5199173995047,36
228,324.52501898866115,35
